FECHA;TASA_DE_DESEMPLEO;CANTIDAD_DE_SISMOS;MAX_MAGNITUD;MIN_MAGNITUD;PROM_MAGNITUD
Jun20;16.28004419;49;6.8;3.3;3.995918367
Jul20;16.37321937;51;5.9;3.4;4.139215686
Ago20;15.56662224;60;5.6;3.4;4.116666667
Sep20;16.53162979;48;6.2;3.2;4.079166667
Oct20;16.43002028;66;5.6;3.4;4.201515152
Nov20;15.12599877;70;5;3.2;4.027142857
Dic20;13.84037187;67;6.2;3.3;4.076119403
Ene21;13.01126899;51;5.5;3.4;4.245098039
Feb21;14.49050051;52;5.7;3.3;4.219230769
Mar21;15.27903531;66;5.4;3;4.037878788
Abr21;15.11226787;70;5.3;3.2;4.012857143
May21;12.02913009;87;5.8;3.1;4.006896552
Jun21;10.32186612;62;6;3.2;4.012903226
Jul21;9.391020662;68;6.1;3.2;4.155882353
Ago21;9.538179977;76;5.5;3.4;4.092105263
Sep21;9.973118799;77;5.1;3.2;4.016883117
Oct21;9.597499473;92;5.9;3.2;3.983695652
Nov21;9.092969665;56;7.5;3.4;4.117857143
Dic21;7.832535436;77;5.5;3.4;4.053246753
Ene22;8.6177731;57;5.6;3.4;4.105263158
Feb22;8.900425786;24;6.8;4;4.3875
Mar22;9.412046241;41;5.6;4;4.358536585
Abr22;8.263712314;30;5.3;4;4.326666667
May22;7.211817654;34;7.2;4;4.552941176
Jun22;6.779536793;47;6.3;4;4.372340426
Jul22;6.8301387;35;6.2;4;4.545714286
Ago22;7.32302234;34;5;4;4.355882353
Sep22;7.67263901;32;5.6;4;4.3125
Oct22;7.165827091;85;6.1;4;4.46
Nov22;7.620149062;41;5.2;4;4.290243902
Dic22;7.111931164;41;5.8;4;4.502439024
Ene23;8.010579523;32;5.1;4;4.35625
Feb23;7.329429424;31;5.2;4;4.319354839
Mar23;7.484157971;52;6.7;4;4.430769231
Abr23;7.072392403;23;5.6;4;4.404347826
May23;6.778778535;38;5.7;4;4.365789474
Jun23;6.551519746;45;5.8;4;4.373333333
Jul23;6.264337537;41;5.1;4;4.273170732
Ago23;6.637680466;48;5.6;4;4.372916667
Sep23;6.731352636;33;5.6;4;4.3
Oct23;6.555003396;39;5;4;4.171794872
Nov23;6.56189299;34;5.5;4;4.411764706
Dic23;6.384513858;51;6;4;4.315686275
